PageNo,Text
119,"['1852', 'then she has offended the sods during the year', 'an some took middles of yellow paper cut in lay', 'a strips the be placed on the top of the graune', '- stones. At length amidst music, shouting ge', 'if approached a a large fine chair carried by 8', '/', 'Th beaus, containing the idol. My heart sem', '1.', 'fl sick.le a that they would worship the one true Pod.', 'm April 5th Quite indispose. d. Dr. ys. I us. P. been out', '(', 'all day making calls. Received calls from hip fay', '*', 'Mrs. Nelsen d ur. points of the Episeopal mission', 'in of Baker.', '-', 'Having received eim initation to pay a call ah', '- a clinise house, started out late this afternoon', 'us. with lro. Qhuch and the children. Proves, graves,', 'graves on every side: some with the humblish', 'or', 'wede stores. sence eoffines lay above ground with', 'with no eoviring nice wheat of vegetable fields divided', 'is by irrigating camals. went into a dirty mill where', '1. oil was made of cotton seed; there large Ruffalo as', 'any served for the steam power. me next came to a', 'has', 'temple where a good m many women and children', 'in were assembled- some at work, others idling about B', 'd', 'None', 'seemed', 'worshipping', 'through', 'there', 'were', 'N', 'to- 10 several idols in the temple As are avent in the']"
120,"['door, all the women gathered around us and m', 'beg an to jabbin drew a', 'one out ben el and', 'we', 'insisted the at Anyay Nayang should be Reated', 'On', 'One came to my side, put her face almost', 'for', 'in my bonnet and exclaimed admisingly.', 'ca', '""what a beautiful bounet."" Another took hold', 'the', 'of my cloak and thanghts is very pritty. They', 'He', 'avere animos to show me some respect', 'M', 'and continued Their solicitations for me to', 'th', 'be seated. Bro. shuck, however, told themar je', 'did not have time, Rut marely manted to', 'O', 'look.me then examined the several idels', 'a', 'h', 'great and small in different parts of the', 'room. As me turned the leave Aro s. told', 'a', 'them had all the', 'l come may from America', 'to teach them the simfulmp of washipping', 'fie', 'idols, and they must leave is off. ""o me will', 'a', 'not worship idels"" exclaimed half a dozeni', 'a', 'one paid ""Ah: but how will meset am riee.""', 'm', 'Their promise to fasake idelaty was, of emess for', 'but a compliment to me, and as ball an', 'w', 'as m any of the compliments of am erm', 'his', 'country. we had gone a shart distance', 'But', 'by', 'from the temple, when a my of distrap', 'an']"
121,"['1852', 'd made me start. Bro. stunch pointed to two', '! women about fifty yas. distant among the tomits.', 'Once was looking silently on; the other learned', 'et forward althast to the ground with hu hands', ':', 'coving', 'her', 'face.', 'she', 'was', 'weeping', 'for', 'the', 'dead', 'thus warshipping the spirit of an ancistion', '1.', '7', 'Heir eries were he and rending I could not', '+', 'realise that is was a mere form- that hu', 't', 'thoughts perhaps were an indifferent pub-', 'ur jects while she utters d Be eh pitems wails.', '$ O that send it Rent a thill of harror, of', 'is anguish indesesiltble. poor, writched aroun an', ': how I pity you. how sladly would I show you', '/', 'a better way. My Sad, then caust open the may.', 'ini', 'me continued our walk amongst therice', '7', 'pay fields and grave yards, am d soon arrived as', 'u a grove of eddors sumounded by a budge. lu the', '3', 'ni', 'entre of the enclasure was a large thraced', '2', 'es?""', 'mound evered with sucn J his was the', 'eurs tomb of a wealthy family i and the pe opli we', 'w were visiting kept the place in rip air. The', 'L', 'house was mean- me walked in', 'and', 'merekinds', 'by received by the family. After sitting and talking', ') awhile we went over the house to see the peculiarities']"
122,"['watch at', 'a and did', '85-', 'grevegard ga wealth form', 'to', '1879 after mas years of', 'of a elimese residence. it was wanting in meatings', 'll', 'although a respectable family. Boing out into', 'a', 'of', 'court which opened to the inclosure with the toub.', 'de', 'ln this court were some stone benches, and sev', 'is', 'er al truss. One of the thus was haply but event', 'with large white blossoms resembling magnotia', 'seeing that are admired them, a little lad', 'sprany up the they nothittstanding his thick', 'soled shoes and cluissy clothes and broke some', 'off for us. The room opening into the court', 'seemed designed for sacred purposes. A large', 'pile of Sin Pak lay an the floor, the painted', 'boards with characters which I saw in the', 'procession yesterday, sat in the comm, and', 'these neme a great many curious things alss', 'the room- to the manes of the degs articled. On', 'one side of the room was a read filled with', 'many strange things, and a platfam lead-', 'u', 'ing to it. lohing palayfully sprang upon this', 'Is', 'little platform, when a boy There or from', 'yes.', 'Q', 'old pulled him off and Reemed quite distriped', 'I', 'at', 'the', 'sacrilage.', 'After', 'satisfying', 'am', 'curiosin', 'w', 'By', 'were', 'returned to the none where were The', 'At', 'there', 'women.', 'A', 'large', 'eup', 'of', 'tea', '12', 'was', 'placed', 'before', 'a']"
123,"[""time me Shuck's Sevent she was living at and"", ""its poiltnful she oftwards service was as Will at me. - m.E. Cunnyngton's eh. South - heary"", 'each of us, with strangely shaped editinal ware 59', 'spoons. The tea was sweetened to suit our', 'deproved taste, and was quite p alatable.', 'Another dish was brought on which resembled', 'hardbired bindseggs in thin smel. The little ball', 'were made of flow and boiled. As Gro. s. told', '1', 'me staguette would not force me to eat these', 'l was glad enough to dieline Timishing our tea', 'are started home, but the woman was very', 'sorry are must have, for she had just sent', 'and for some cakes. However, as it was late me', 'came on home. The walk itself was refresh', 'ing, but the sad things about These poor blind', 'people prip heavily cipon my heart. servanteant', 'April 6th still quite indisposed, as also is', '7', 'Nitty. e. been out all d day m a thing ealls, trading', 'and m sting arrangements at The Ialigol long.', 'd-', 'Our', 'servant is the son of tro. shults Rea chu,', 'this no. of his stemas d and sexten. Toong paw is about -', 'm,', 'sixteen years old fine looking, modest and', 'fo I think Thaetable. H is behothed to a girl', 'si whom his of atten has.ed must they to set hu', 'The that they may both learn, and suiteach', 'for other. U Sad help ms to do our duty to them']"
124,"['April 7th Calls from lls M Clatchic- the mighs', 'and llip Parkes of the Episerpal, gates & pses. over.Ale boards.', 'Liked them well enough. listu', 'is still feeble but has siniped her eliec for', 'h', 'several days. she is a plain name hearted', '12', 'i', ',', 're alons woman Netty in bed all day John', 'my moisy, myself indisposed. became quite', 'a', 'nervous this afternoon. lu the strength and', 'g', 'buogancy of my maidenlood I often pitied,', 'd', 'almost snured at nervousney in a mmam', 'e', 'thoughts it a weaknep I should never be', 'm', 'suitly of How often', 'are the tables tass thurd', 'a', 'Netty required a great deal of nursing, l was', 'c', 'sick, and be come sloving, morass: came', 'to', '1', 'my room and lay dewn Husband tried to', 'a', 'cheer me up, but to my mind earth bad', 'e', 'not are night spot. C. went with tru. P.', 'o', ',', '. to pragermuting, I took The with ilobury.', 'r', 'heard his prayers. read stories to Nettyliams', 'in', 'same chinese words from N. and Runy Ruy', 'di', 'Netty went to slup soon, and l find myself', 's', 'lefs glormy and dispanding. n eather cool- elas.', 'e', 'll', '14', 'is']"
125,"['1852', 'night', 'April 17th saturday; After a tudious illuis of ten', 'rarth', 'days l am at lev 8th able to sit up a little. Dut', '2.A', 'fired very much from disordered bowels still suffer', 'or', 'no', 'little from the same cause. Friends all very kind', 'ted', 'to me in my illnef beprived of the privelye of send', 'John', 'inj letters By the m ail which closed yesterdays', '1', 'ex-', 'with', 'apt a little note to No. Dean. Dr. Buston getting a', 'and', 'good deal to do. He will barn the language rapidly.', 'd,', 'He, this afternoon, dismissed am old opium Ip atient', 'an', 'eured. cus house is under repairs. it cannot be', 'be', 'made convenient, But l think me can be comfort', 'and!', 'able in it.', 'was', 'April 20th from some unknown can se was', 'its', 'thrown back and have been quite unwell. Had', '10', 'a pleasant ride this afternoon in am open', 'bad', 'chair. Took the road along The', '.P.', 'on the bank of a canal, and paped along through 3', 'buy', 'rice, wheat and vegetable fielde- all small and', 'learn', 'innumerable granes. M any of the graves are in', 'lung.', 'dirated by high mounds. some mirely by grave-', 'pall', 'stones- - some coffins lay flat an the ground uneva', 'Leby', 'ened, while others are indicated by threst resema', 'thing little brick houses. The number of grows', 'is quite astonishing. sister gates was with me']"
126,"['and met several women and children who @', 'knew her. Me paped through beautiful green', 'of', 'fields, but all intermingled with terules, terms.', 'the', 'The curious gazed at us but offered no insult.', 'is', 'Quite refreshed by the ride prospect KC.', 'of', '(', 'Aps. 21st me deterday. Am almost well:-have been', 'the', 'sewing greater part of the day. Late this after', 'as', 'more, as C. and tro. D. were going to prayer must.', 'm', ""ing at tro. Reasey's, I malked a considerable dis-"", 'in', 'Lanee with them away am the beautiful soun patch', 'the', 'es-and the tombs. The roads san along, generally, 3', '(to', 'the side of a canal, and me saw a greatmany', 'A', '/', 'children, some women, and occasionally a m am,', 'no', 'with their rough little reap works cutting varinis', 'in', 'sah miny deiri', 'me ads VC. for food.len our as asking they would upply', 'of', 'mo can dur, or than dun(grap. or the like) Our', 'we', 'refactories were often offended by the great', 'm', 'thougs. an the roadside, or luckets carried by corlies,', 'la', 'for memining the fields. The senttermen em', 'at', ""timed an to tro. P.'s and I returnid, a ecom"", 'an', 'paired by Joong Pow. No insult offered.', 'che', 'The sistus once had a programmeting, and', 'way', 'l', 'from various causes is has hum . discon', '16', 'the', 'timed are design resuming if practice', 'for']"
127,"['1852', 'o', 'cable. some ladies of other missions do not', 'a', 'its,', 'approve of few ales holding mutioys armony', 'themselves. nh at obje time I can see none Min', 'cult,', 'is their understanding in could they deprive us', 'of what Sad has granted: me may each in', 'eben', 'turn present special objects of proyer- I feel', '1', 'the', 'as', 'if I would suggest as an object once a', 'mul.', 'month - the women of china. Their cen dition', 'dis.', 'weights me down. The others may m be use d to', 'pats', 'the m as of these Joe opli - are new', 'lly.B', 'to me.', 'my', 'April 22 nd Thursday. Having promised to spend the day', 'in,', 'with sister Harriet, are had our coolies called early', 'inis', 'in order to avoid the midday sun. C. rode in the', 'wpy', 'open chair and took Annie yates. As be would 7', 'in', 'want to see every thing that happened to me', 't', '5', 'my chair went an just before his. we first went', 'noils eastware d, along the northern wall ,mutil me arrived', 'm at the Po Mung, or north gate. The streets were crowded', 'm', 'and my front Cooly kept up a continuous Huller', 'chela He la etc- to wam all who might be in the', 'but way. paping acrop a m anow bridge I saw stretched upon PA', 'n the scorching stones - - a withend, stark, half-nated human', 'etc form. His face was envered with a flat rattan basket:-']"
128,"['perhaps placed then my some one else- - or by him', 'an', 'self to shield his face from the searching our before', 'to', 'his death. He was dead. Poor fellow mortal- now', 'Coo', 'cold, stiff clay- two late, too late for the gospile', 'A', 'made a cold through my grame.', 'shiver mum', 'm', 'Every thing was new and strange, but the next', 'off', 'thing to which my attention was particularly', 'eu', 'called was a man carrying his eating establish', 'ki', 'ment', 'about', 'the', 'streets', 'his', 'back.', 'Two', 'on', 'wooden', 'the', 'fames, consisting of several shelves were attached', 'mi', 'one to each end, to a strong bamboo pole. This ban', 'ur', 'boo rested an his shoulder. are grame behind, are', 'In', 'before. His furn a ce, with a staging fine and cooking', 'a', 'utensils. his tha pots, bolls, chop-sticks all ready for', 'Ch', 'use. cooking houses are very common, but it was', 'a', 'quite an idea to see are conveyed through the streets.', 'My chair had slap sides & back and half the frontruas', 'he', 'left open the chinese seemed', 'to think this', 'A', 'rather immodist in a wma although very', 'on', 'many women may he seen in the streets without', 'see', 'even a covering for the head. Many laughed and', 'an', 'looked euriously at me, and are put his fall', 'Q.', 'very near my quite', 'window and m ade a month', 'R', '18', 'at in me. n spent am agreeable day with lip MB.', 'al']"
129,"['1852', 'lychool and Mrs. Me Gavan.. C. not very well - so me concluded', 'untif to return this evening. The afternoon became quite', 'now', 'cool, and I found it me nessary to usap up well.', 'fal.', 'After we came and of the walls l heard the faint', '-', 'murmur of an Colian lianp I had heard is', 'nest', 'often while sick without knowing when el is for 1', 'lorly', 'ended. It game from above. The chinese m athe', 'stabling', 'kites of various farms, birds, fishes, men or any-', 'ooder', 'thing they may fancy- have seeds arrange d inge', 'attach ministy about them, so that as they rise in the', 'his h', 'wind this music- or sound is m and By some', 'notory', 'means l suppose by Jesking the string rapidly', 'a quick springing motion is given to the kite.', 'ready cen bearing the sound you look up and behald', 'was', 'a m an or worm an dancing in the air!', 'the atus', 'Looked over our Took Song and think me may', 'have a comfortable home. Feel fatigued.', '13', ': this', 'April 23rd spent the forenoon in sewing, looking', 'buy', 'over some old lether and documents- - and called to', 'units see sister sates. Doon after dinner l got into the chair', 'and', 'and started to the Confucian Temple with Cand too', 'fall', 's. to do some shopping. saw many fine shops. P', 'amal some chinese stores have only foreign goods-', 'up almost every want may he supplied cheaply,']"
130,"['(ebserved the method of cleaning sice. A now of', 'h', 'heavy worden beams, with a head resembling', 'J', 'that of a horse, are up at sh', 'made so as to more &', 'down Pressure throws them down un du the head', 'is a large Nowl of pad dy, and a man stands', 'the', 'on a plank near the beam. standing upon the', 'an', 'been Throws it dour into the vessel of nice:-', 'he their gets on his plataform to allow the beam', 'an', 'to rise. Daw many employed at this.', 'he', 'A ride through the erounded streets & eurious', 'At', 'pe opter deprepes me: so many painful thoughts', 'l', 'i', 'are called up:', 'April 25th Sal bath went with G. tso s. & children', 'the', 'to the Trinity cluss ch (Eng. 2.) The greater part', 'the', 'of our routh lay through the foreign part of the', ',', 'city Quite a collection of foreign houses Discourse', 'u', 'in English by Bishop Smith of Hong Kong who is l', 'on a visit to Shamghai- Mather better pleased', 'J', 'than I anticipated.', 'J', '26th spent most of the day with sister Pearly', 'i', 'at sister Gates. As me were very Busy in prepar', 'n', 'in the box of goods for sale, we had little can', 'a', 'versation er other topics. see Nyany Nyang wife', 'of our and chinese ch.member came and croth']"
131,"['18522', 'her two children', 'This', 'morning an old lady, mother of the Deaching', 'at Oo Ka a jak called to see the new Nyang Anyay.', 'she was a mal country woman, and very per', 'Ricular in examining & admising my dreg', 'and paeque.', '1', 'A', 'woman who has been in several mission', 'any families mishes us. sis P.', 'to live with likes', 'her very much-and thinks she is', 'concern d on', 'the subject of religion. I would like to have ne-', 'ligious servants. O Pad have mercy upon China a', 'April 27th sined with sister Gates, and in the of', 'termoon called on ins. Ienkins and Ar Taylor of', 'the Mthodiste.mission.', ':', 'April 28 sined with listen Pearey, @ all d on', 'and', 'the might and Mes. Compention l think I shall', 'like the missionaries of this place very much and', 'I walked to several places in the city for the', 'first time athacted no more notice', 'than when', 'of', 'in a chain. Our house will soon be ready for us-', 'but', 'we have engaged a woman the he ready as soon', 'of as we move: the one mentioned above 26th Quite', 'fatigued, after my walk, and the forgermenting', 'here', 'y']"
132,"['April 29th Visited, with sister G. in the fore', 'ra', 'moon, the Am. piscopal mission at Hong Kur.', '&', 'Also tho Maylies thurchauts lady. ln the after', 'M', 'moon called ths. Wandnes of the Dabbatasian In', 'on', 'mission The ladies all seem plain and', 'lann like: I am inclined to he pleased with', 'has', 'the society of Phanghai Have yet to call an the', 'A', 'Londan migsion ladies of list. Culburtsen (pses.)', 'm', 'Then my worst job will he done- it is quite', 'an', 'a task. ment from Mardnis to gale joh long & be', 'his Bakins, when we saw Mrs. peasly & the', 'M PSwarn.', 'with what loathesome objects', 'w', 'and sights sure mentaly all the filter the', 'as', 'horrid eating houses, the dreadful strunch,', 'a', 'the worst thing in Rh anghai is a sighting', 'a', 'man in the streets with clothes thrown', 'th', 'down, picking of eating lice from them. Isabe!', 'as', 'And is is by no means an an co', 'so', 'eight.', 'to', 'some mistakes about the mail. several', 'persons have received letters through house', 'a', 'the', 'consulate, or regular P.U. m ail is', 'supposed to he yet at musing or eming', 'up on the Minna', 'Heard of several out-in Z']"
133,"['1852', 'rages by Chinese passengers upon captains', '& musels.', 'A lith from lso. Thorias says', 'Mrs. labanife will be sendy to said in May or', 'Inm', 'Had', 'an', 'unisually', 'cold', 'winter', 'athome.', 'The mail will leave about the 17th and el', 'have many very many lether to write.', 'A', 'April 36th Dispatehed several letters. The mission board', 'met here for business. After it was over tro P., b.', 'and I took a long stroll. Not more than 20 yds.', 'before us, just as me turned a carner, me saw several', 'persons stopped in the road looking on, while a man', 'was be aring of began The man however soon left off', 'ass', 'are approached. It seemed the began had stolen', ""a few brunches of the man's grums, and was highly"", 'indign and (to be beaten for what was""not worth', ""three each.' Chu our return are met of began woman"", 'with her trained child. As me approached the child', 'got on is twees, extended its little arms and began', 'to pleadi l. gave her two cash', 'Took tea at love. Zates, with Dr. Taylor spent quite', 'a pleasant evening.', 'May', '1sthast', 'of', 'the', 'day', 'spent', 'alone,', 'Enjoyed', 'a', 'season', 'edge his hand in my affiction. That is paid to be', 'of sweet communication with my God. I can a Namoul']"
134,"['half the battle and is is entainly an imapon l a', 'tant point gained; deep.', 'but still then is deep', 'bitters of soul Have I not the around of the', 'l', 'Alrighty that it is for my good; and if I can', 'to', 'not see it, shall I therefore not believe. Then is', 'c', 'not necessarily a Trust in Pad tho believe what', 's', 'our reason suggests the beauty of faith is taking', 'Q', 'the word of Pad without a single doubt, though then', 'U', 'be every thing else crying out ""Not so not so.""', 'of', 'Abroham continued to believe that"" m loage', 'yr', 'should his send be called,"" even while winding him', 'm', 'for a burnt offering. Human reason would say n', '""it cannot be possible"", while faith with', 's', 'confidence spoke ""He hatte He', 'said it will make', 'n', 'is good""', 'de', 'May 20nd ment this morning with hand Gro. s. c', 'the Rung way bong. l went up into the g allery', '%', 'which is appropriated to the females. I matched', 'le', 'the eager erowd as they gathered around the', 'sa-', 'n', '-', 'ened desk to receive a if they were as age r', 'books.', 'to receive Christ A good congregation of men', 'I', 'assembled and behand very well, though occusion', 'to', 'ally meeting the books they', 'had', 'just', 'processd.', 'began to think no moe would the there but 24 to']"
135,"['1852', 'after a while, hearing the stairs, x', 'some are on', 'looking around saw a girl of fourteen or fifteen', 'leading a little boy. she sat down and seemed', 'to be attentive during the whole service.', 'ln the afternoon assembled here with the mis', ""sion church, and with them partook of the Lond'st,"", 'supper.', 'close', 'Management ay 3rd As the mail was to learn at three, cl', 'spent the whole forenoun in writing letters, and', 'yet did not get through. spent a quick afternor in', 'my our room, reading the vible, me ditation, and', 'm aking some good resolutions. it is paid a per', ""son's case is not hopily so long as he honestly"", 'L', 'mathes redolutions of amen diment.', 'Dr. Taylor', 'dive d with res.', '&', 'May', '4th', 'A', 'great', 'm', 'many', 'annoyances', 'in', 'this', 'life.', 'Best to take them coolly and calmuly, when are', '/', 'has sufficient self-entrol. l must school', 'myself. while I would avoid and', 'ifth', 'irregularity on the one hand, award pr ay that', 'I may not the ""Careful t troubled about m many', 'is', 'things That carroding care which I am r other', 'PA', 'I', 'prone to have, will soon take are to the soove. Truey', 'A', 'the ""night away"" is a straight d narrow spath.""']"
136,"['May 5th This afternoon started to gali job long, stop-', 'M', 'and', ""ped at hips Baker's paping a corner saw a man"", 'oh ained while a large square board hung around', 'in', 'his', 'neck. The hole in the plank was small and', 'me', 'filted closely. A method of elinese punishment', 'gre', 'ment shopping to the confusion temple prager', 'this', 'meeting at higs MB bathers All the sistus enter into', 'out', 'the ( our) In or meeting some of us think that', 'two', 'mednesda afternoons will be a suitable time,', 'are', 'to', 'be held at the some house, and be through', 'lu', 'by the time our husbands', 'assemble', 'the', 'May 6th sale of articles sent from Balt. & nich by', 'Co', 'cof', 'us, to the mission. Quite unwell called at Dr.', 'in', 'Medhusts. One many call, and I shall be through', 'Th', 'lus. Culbutor, and she is sick at present.', 'or', 'u.paid', 'May 7 should the weather, of tro. Blunkis hells', 'the', 'permit we will so to (lo Ka jak tomarrow.', 'the', 'The people are all expecting us. Have been', 'f', 'indisposed to-day, and my spirits have been', 'w', 'semewhat depriped: still I think my spin.', 'I', 'its have been musually good since my', 'be', 'illneps.', '6', 'w', '26', 'to']"
137,"['1852', ""May 8th Saturday By eleven o'clock all things were deady"", 'and are started to the boat. As the ver the Atide was', 'in our favor and we started up the mompoa,', 'boats', 'making our way through the eround of little juitk', 'great boats, junks, & water. enaft of every deserip', 'nion. The sentlemen sat at the windows', 'and', 'savet', 'out books to the men as we papsed along. for nearly', 'two miles we continued up the river, then enofed', 'and intened the great Camal. The wheat fields were', 'luxiciant, and we had opportunity for abserving', 'the mode of inig ation. Two small which with', 'cogs, one placed in the water, the other on the blue,', 'in the field. Over these wheels, a chain of eags gages', 'The wheel above was turned either Ry man,', 'or huffals, and the line with egg constantly', 'turned, and threw a continuous streammits', 'the field.', 'paping members of dwvellings, bidges, and villages', 'we soon entered a smaller camal.', 'crowds. of -', 'men, women, and children would mu along the', 'banks to si uts, and gladly receive books.', 'On reaching the month of the smallest candly', 'which runs near the of Hok dong, are efound', 'door the', 'that the cleaning out of the larger one had so drained']"
138,"['it that over boat could not enter. me soon got a', 'the', 'much smaller boat into which a bed, the children', 'ha', 'and myself were arrange d. The mission boat', 'the', 'must', 'remain here, and as it would save trouble', 'in', 'lro. s. and the children would slepine amount was', 'as', 'I', 'last half a mile the the Herk day. The m am', 'soon had his boat into the Camal. We e were', 'the', 'searcely in hishen the man rolled up his loose', 'der', 'thousis- junifer into the water astern and began', 'er', 'pusling us along. The matu was not more than', 'an', 'five or six gt. wide the boat about three. it sund', 'to', ""so like children's play I could not help laughing"", 'for', 'beautity. me soon found, however, that the depts at', 'was not sufficient, and the boat was some-', 'm', 'in', 'times an the sound for twenty yds. The', 'w', 'boatman began to srow angry- cursed us', 'A', 'and', 'the', 'mother', 'that bare us- said me were', 'm', 'killing him. l stipped out not a very long', 'be', 'stip either) and joined the sentlemen. T he child', 'm', 'drew rode a little of anthen, when a couple of chairs', 'in', 'were procured in which we proceded. As we pass', 'a', 'ed along some women wanted to look at the', 'm', 'children. so the evolus put down the chairs', 'be', 'and as thing did so men women and children', 'dr']"
139,"['1852', 'through', 'the surrounding fields of deve their', ':', 'hoes', 'and ran with all their might to see', 'the sight. A erowd soon call etced and exam', 'ind our drefs asking many questions which', 'A I.of course, did not num dustand.', 'Coming to a fail bridge which trumbled', 'A', ""rendu the children's weight, my beause put"", 'l', 'down the chaic, for what I did not Annon A', '- crowd was soon around me. l had banned to', '- andwer their polutation and to s say Veh show', '-d', 'tert I derit understand you.) My drep, sacque, sloves,', ':', 'bounet, and even stirts they examine d min', 'ets uttely. and aske d many questions to which', 'h', '-', 'invariaty', 'replied', 'Veh', 'shaw', 'the', 'They', 'made', 'signit', 'which, for some Rime, I could not m dustand. 7', 'At length it occured As me Attay wanted Ae see', 'u', 'my', 'fort', 'so', 'I', 'put it out Ao give them a fair', 'view.', 'One', ',', 'might', 'judge', 'of', 'the', 'wonder', 'and', 'music', '/', 'ment exected among the small footed comet', 'his mity By my substantial m duptanding It', 'one', 'ass som arrived at the Hok day, and made amange', ':', 'ments for the might. A 800- number assembled 72', 'è', '28', 'here to see ms. After supper tro. D. and the child', 'un drew returned to the boat while we occupied one of the']"
140,"['small boek Rooms of the house.', 'say', '19th Dabbath. morning the children/', 'elimises were', 'shis', '10th', 'busy at their', 'lessons. The mission teacher is an', 'Th', 'inquires. After prayers in English of elimese,', 'are', 'him', '0', 'went in to breakfast. The eround were so and', 'Mr', '.', 'ious to see us eat that we had the keep Atur', 'this', 'door looked and then more Atan once the with', 'got', 'dow was tapped.', 'Feeling quite indisposids', 'the', 'retired. The crowd increased. - Sr. Burton som', 'Qi', 'arrive d and after the first discaines, had about', 'by', 'fifty or sixty applicants for medicine. majority', 'M', 'chillst fever, and sare eyes. All seemed anxinus', 'it', 'to set a pup into the room where I was. Once, which', 'far', 'the', 'senttermen', 'were', 'out,', 'Netty', 'left', 'the', 'don', 'unlock', 'off', 'ed, when send denly the noon was filled with men I', 'I', 'women and children. what could I do? I thought', 'and', 'the senttermen had allowed this, and I felt half', 'provoted.They none soon driven out, yet so', 'The', 'of', 'constrully attempting to set back. as to annoy', 'he', 'me. I at last, sat up and went into the hall', 'for', 'to gratify them, But soon found myself half', 'it', 'suffo eated by their preping around me, and', 'en', 'the harrid odds. I retire d- they assailed my m', 'windows:- But I determind As keep to eked up 230 So']"
141,"['68', '2 say nothing. Once or thin I went out for a', '- short while.', '10th', 'The crowd remained reactic after the luv-', 'I', 'thing services when M.D. ment the his boat.', 'ne soon had quiet I did not nest will, and', 'this m am was quite merous. After rising m', 'L', 'got our things mady- went to the boat took', 'I', 'breakfast. and after J agoing through seemed', 'n similar to these an Saturday, reach d have', '/ before one o.ele etc. Slad enough A not', 'May 11th Every day is one of fince manfare. shall', 'has is be so through life o Fina litter struggles shall', 'faith never triumple? U God, I am sarely, sorely', 'look affeirted have flown to the and to', 'East the mest', 'un I have searched creation through-have warm', 'to and strained my mind Asthand eformafant- yetfind', 'of none. I have turned as a last resort to These to', 'of', 'They Holy Book- only to be sunk deeper than ever.', '-', '7 Why is it I find no peace. : Peace may always be', ',', 'found in Thee it is in me, the cause- shall', 'If', 'it', 'Qo remain . Am I a chied of Sad, yet without', '/ comfort: For wise reasons Jhon hast thus afficient', 'by me-yet B it is gricoous. Have Have as real am only idea a', 'cause', 'Sad can have mercy which for frief better health was dissiplated only']"
142,"['May 12th but the friends this evening at program J.', 'meeting in lro. gatis. house. Many persons seem also', 'to enjoy religion more at public service, or social pic', 'meetings than anywhere else: but I must compets', 'Du', 'it is not although so with me. when alone I can', 'all', 'concentrate my thoughts- can bring beavenly things', 'mi', 'before my - can', 'mind meditate with much more', 'sis', 'ease than in company. in am assembly there', 'ong', 'is necessarily more to distract the thoughts. Eope', 'at', 'sially l do not enjoy singing so much as', 'alone-', 'to', 'do not sing so much with the spirit and under', 'has', 'standing.', 'l must hister myself about our prayer', 'for', 'meeting.', 'in', 'May 19th Our house will Boon be done.', 'I am ex-', 'the', 'tremely anxious to begin the language By the first', 'to', 'of Inne. me hope to go over muxt and make', 'work', 'all', 'preparations for full possession the week Joe', 'it', 'lowing. Dr. Buston is outstripping mo in leaving', 'di', 'words and phrases. H has a so at many patient', 'do', 'and can use his knowled dge every day. C. thinks', 'as', ""of setting tro. Peasey's teacher, as hr. P. cannot study."", 'wa', 'May 14th Look tea with seviral friends at Dr.', 'a', 'M Sowaris- Dr.', 'M. leaves for Ningpo on monday', 'Be', '32', 'A']"
143,"['1852', 'in J foor some difficultus and heart burning', 'in about our pragramenting Mif B aker has some', 'eial', 'peculiar notions and is obstinately stubborn. I do not', 'Ree that me are under obligation to put our', 'in selves to incouverience in order to suit all the', 'e', 'thing missions. I should always be ple used to have any', 'A', 'man sister out of our circle, but l cannot Bee that we', 'in onglit to make is common by allowing it to be', 'pe at the house of any without. Not that I would object', '1- to that thing in itself, but sue can hardly leave', 'der home thos evening in the week. the mission', 'yes', 'pragermuting is on Wednesday evening- by must', 'ing early the sisters might be through before', '. the assembling of the bothers. If are should', 'ist take any other day, and allow it to paf this', 'ake', 'all', 'the', 'missions,', 'some', 'of', 'us', 'could', 'not', 'attend', 'of it would some degenerate into formality and 3', 'using die. This is what l would avoid I, myself might e', 'int do either way, for I certaing have as little to confine me', 'wks as any of the sisters, but will is be continued in this', 'study way? Mips Baker would attend, but take no active fo art- I', 'in am half inclined to think air cause is ratter', 'only selfish, that she is glad to have an objection.', '32', 'sister Pearcy is with me- sister Gates has not expriped']"
144,"['thisself fully, but seemed to desire the uning il', 'the out ladies, she, however is a reasonable noo- M', 'man, and which every thing is set before he fer', 'will perhaks he with me. I shall not be absti', 'ais', 'nate, and will not hold to anything minely from', 'mole', 'the fact that it is mine. If the out ladies', 'be', 'have a proper spirit they will not he offer', 'can', 'ded, neither stay from our meetings because thy', 'to', 'are ours.', 'm', 'May 15th Confind in a dark room with Johnny', 'be', 'who has Bou eyes. p oor little fellow came near', 'of', 'blue ding to de ath from luches. The Rick room', 'Tu', 'is a good school.', 'Re', 'May 16th e. preached this morning in Dr Lock.', 'N', 'harts dispensary for the London mission. He real', '}a', 'his first Dermon, as they always do. Notuith', 'the', 'standing the presence of some D.D.s he resane', 'yr', 'them some plain truth. Hope it on any desool.', 'an', 'Text Matt.l1 28-30. ""Come unto me all ye that', 'esp', 'labor Jake ve and are heavy laden and I will give', 'to', 'you', 'rest, in For I am much I lowly in heart and yr', 'G', 'shall find rest to yours souls.""', 'by', 'city, there is inite an excitement. streets 8 any 34 litt', 'This being the birthday of the totalogy god of the no']"
